date,price
01/01/18-17:21:35,13368.8
01/01/18-17:22:06,13368.8
01/02/18-12:40:34,14027.6
01/02/18-14:21:31,14034.7
01/04/18-16:03:55,15099.7
01/05/18-23:21:23,17523.5
01/06/18-00:34:18,17436.5
01/06/18-01:00:07,17355.6
01/06/18-10:00:38,17015.1
01/06/18-12:24:58,17033.7
01/06/18-13:56:20,16931.9
01/08/18-15:31:36,14968.9
01/08/18-16:43:06,15194.0
01/08/18-22:46:22,15215.5
01/09/18-20:11:48,14709.9
01/09/18-20:12:17,14709.9
01/09/18-21:24:46,14467.7
01/10/18-16:03:02,14698.1
01/10/18-16:48:44,14714.5
01/10/18-16:59:33,14736.0
01/12/18-18:30:20,13953.4
01/12/18-19:30:59,13927.4
01/12/18-22:47:03,13976.9
01/13/18-20:22:45,14367.7
01/13/18-21:03:13,14448.2
01/14/18-00:12:01,14475.0
01/14/18-17:26:50,13707.9
01/15/18-00:31:11,13739.4
01/15/18-02:03:24,13713.4
01/15/18-15:02:50,14373.4
01/15/18-15:19:35,14384.9
01/15/18-17:00:27,14219.9
01/15/18-18:56:37,14159.8
01/16/18-00:02:19,13220.9
01/16/18-00:29:23,13212.1
01/16/18-13:40:53,12044.3
01/16/18-15:05:47,12000.5
01/16/18-17:49:04,11810.8
01/16/18-18:23:45,11627.2
01/16/18-18:45:57,11469.9
01/16/18-19:37:28,10794.8
01/16/18-20:26:48,10482.7
01/16/18-21:52:34,11418.7
01/17/18-13:21:26,9676.53
01/17/18-17:26:23,10153.1
01/17/18-17:43:34,10178.7
01/17/18-18:32:34,10899.4
01/17/18-19:02:01,11062.4
01/18/18-10:12:46,11717.8
01/18/18-12:05:58,11826.9
01/18/18-12:29:54,11749.0
01/18/18-14:06:49,11994.6
01/18/18-15:36:11,11743.3
01/18/18-16:44:21,11681.9
01/18/18-17:30:38,11719.1
01/18/18-17:31:14,11719.1
01/19/18-10:54:25,11885.8
01/19/18-12:43:40,11743.3
01/19/18-15:13:26,11787.3
01/19/18-16:32:35,11444.7
01/20/18-14:07:04,12723.5
01/20/18-14:21:21,12763.2
01/21/18-15:03:18,11554.7
02/02/18-12:12:23,8807.16
02/02/18-17:08:49,8583.54
02/03/18-10:45:21,8959.35
02/04/18-17:31:43,8285.68
02/07/18-11:50:28,8435.86
02/07/18-16:30:37,8306.62
02/08/18-00:03:38,7904.56
02/08/18-16:26:46,8129.29
02/09/18-14:07:47,8395.02
02/09/18-23:34:02,8958.01
