date,price
01/14/18-17:26:52,1337.0 
01/15/18-00:31:12,1364.03
01/15/18-02:03:25,1346.05
01/15/18-15:02:52,1329.25
01/15/18-15:19:37,1329.47
01/15/18-17:00:28,1328.79
01/15/18-18:56:38,1328.28
01/16/18-00:02:20,1235.98
01/16/18-00:29:23,1240.62
01/16/18-13:40:54,1119.61
01/16/18-15:05:48,1120.46
01/16/18-17:49:05,1091.68
01/16/18-18:23:47,1073.32
01/16/18-18:45:59,1038.49
01/16/18-19:37:30,964.791
01/16/18-20:26:51,905.053
01/16/18-21:52:35,1053.75
01/17/18-13:21:28,811.628
01/17/18-17:26:24,877.913
01/17/18-17:43:37,886.747
01/17/18-18:32:37,970.831
01/17/18-19:02:03,989.153
01/18/18-10:12:47,1047.81
01/18/18-12:06:00,1062.59
01/18/18-12:29:56,1055.96
01/18/18-14:06:50,1092.35
01/18/18-15:36:13,1064.66
01/18/18-16:44:22,1054.26
01/18/18-17:31:15,1063.05
01/19/18-10:54:26,1080.34
01/19/18-12:43:41,1070.91
01/19/18-15:13:29,1066.03
01/19/18-16:32:37,1037.07
01/20/18-14:07:06,1138.27
01/20/18-14:21:22,1145.07
01/21/18-15:03:19,1051.59
02/02/18-12:12:24,952.56
02/02/18-17:08:51,877.85
02/03/18-10:45:24,947.338
02/04/18-17:31:45,846.967
02/07/18-11:50:30,844.087
02/07/18-16:30:39,843.565
02/08/18-00:03:41,791.959
02/08/18-16:26:48,792.743
02/09/18-14:07:50,848.664
02/09/18-23:34:05,897.326
02/12/18-12:56:22,848.501
02/12/18-23:18:53,867.657
02/15/18-14:14:02,941.578
02/16/18-14:00:46,939.968
02/24/18-21:49:38,835.741
03/01/18-23:20:24,876.378
03/04/18-20:25:01,863.956
03/05/18-16:52:44,860.892
03/05/18-19:06:04,856.774
03/07/18-09:01:26,790.317
03/09/18-00:49:46,679.217
03/12/18-17:47:09,690.612
03/12/18-19:07:12,698.186
03/12/18-19:07:19,698.186
03/12/18-19:08:14,698.186
03/14/18-13:25:09,655.388
03/14/18-18:10:53,618.284
03/16/18-14:00:10,621.668
03/17/18-02:14:46,598.286
03/17/18-17:28:53,549.096
03/18/18-00:59:10,521.17
03/19/18-11:21:09,551.553
03/20/18-11:17:24,536.311
03/20/18-11:19:28,536.311
03/23/18-01:10:10,517.105
03/26/18-14:09:04,486.809
03/26/18-23:52:08,472.46
03/28/18-14:09:33,449.142
03/29/18-13:02:26,404.557
03/31/18-22:51:13,399.678
04/01/18-14:23:57,379.572
04/02/18-14:36:03,386.58
04/03/18-17:14:04,416.318
04/06/18-10:06:49,369.083
04/06/18-13:00:24,367.134
04/07/18-13:13:46,389.331
04/07/18-13:19:11,390.149
04/07/18-13:21:09,391.321
04/09/18-21:49:06,398.605
04/09/18-22:34:07,396.904
04/10/18-23:07:30,416.111
04/11/18-13:45:29,420.178
04/11/18-19:30:08,422.254
04/14/18-23:10:12,515.239
04/15/18-17:01:44,523.317
04/15/18-22:38:03,532.297
04/16/18-13:34:52,502.697
04/16/18-19:19:39,506.635
04/18/18-14:04:57,515.7
04/18/18-14:16:07,515.609
04/18/18-14:16:55,515.935
04/18/18-14:17:43,515.935
04/22/18-20:37:39,620.873
04/23/18-20:11:52,642.468
04/24/18-18:57:59,706.085
04/25/18-10:51:08,618.17 
04/25/18-22:59:09,617.112
04/28/18-01:51:32,665.715
04/28/18-17:34:36,688.677
04/29/18-22:19:06,691.584
05/02/18-12:50:57,682.178
05/03/18-16:24:48,761.755
05/04/18-00:23:39,773.325
05/05/18-19:01:27,804.232
05/06/18-17:29:22,780.275
05/06/18-22:59:23,761.671
05/08/18-18:22:05,745.252
05/14/18-12:22:14,729.158
05/15/18-17:13:26,715.003
05/15/18-23:53:39,685.029
05/16/18-22:25:14,711.905
05/19/18-23:57:43,702.666
05/23/18-15:13:31,577.184
05/25/18-14:20:14,593.985
05/26/18-21:41:34,581.682
05/29/18-12:28:10,554.551
05/29/18-21:22:23,566.099
05/30/18-11:59:34,562.897
06/04/18-08:14:59,602.578
06/05/18-09:29:37,591.129
06/06/18-14:06:01,597.325
06/09/18-00:12:19,608.485
06/09/18-09:39:08,606.725
06/11/18-12:36:56,519.824
06/12/18-10:11:38,525.371
