date,price
12/19/17-14:45:18,0.005935
12/19/17-22:50:02,0.00511823
12/20/17-09:42:27,0.00554941
12/20/17-10:30:57,0.00566926
12/20/17-13:44:48,0.00566478
12/20/17-17:37:06,0.00621214
12/20/17-17:37:15,0.00621214
12/20/17-17:37:58,0.00621214
12/20/17-19:14:43,0.0064283 
12/20/17-20:02:57,0.00648318
12/20/17-20:03:13,0.00648318
12/21/17-00:12:00,0.00672633
12/21/17-00:12:12,0.00672633
12/21/17-00:12:15,0.00672633
12/21/17-11:14:40,0.00838821
12/21/17-11:14:56,0.00838821
12/21/17-15:18:44,0.00762154
12/21/17-17:27:27,0.00726559
12/21/17-18:26:28,0.00732496
12/22/17-00:00:23,0.00663445
12/22/17-14:23:16,0.00528455
12/22/17-16:39:26,0.00553064
12/23/17-13:21:25,0.00782574
12/23/17-14:05:05,0.00744636
12/23/17-14:05:26,0.00744636
12/23/17-14:05:46,0.00744636
12/23/17-19:27:30,0.00785462
12/23/17-19:28:17,0.00785462
12/23/17-23:17:09,0.00690069
12/27/17-11:47:18,0.00928612
12/27/17-11:47:30,0.00928612
12/27/17-11:47:50,0.00928612
12/27/17-14:02:27,0.00924004
12/27/17-17:31:34,0.00901724
12/28/17-11:03:37,0.00794001
12/29/17-10:27:38,0.00832401
12/29/17-14:41:51,0.00837906
12/29/17-14:42:06,0.00837906
12/29/17-16:03:26,0.00842299
12/30/17-12:08:38,0.00773944
12/30/17-12:14:11,0.00777592
12/30/17-12:35:42,0.00771574
12/30/17-16:53:38,0.00757483
12/30/17-17:36:23,0.00810906
12/30/17-20:35:49,0.00797406
12/30/17-23:03:44,0.00792604
12/31/17-16:04:40,0.00896188
12/31/17-16:33:12,0.00903244
01/01/18-16:29:00,0.00859954
01/01/18-17:21:05,0.00859017
01/01/18-17:21:36,0.00859017
01/01/18-17:22:08,0.00859017
01/02/18-12:40:35,0.00926347
01/02/18-14:21:32,0.00923002
01/04/18-16:03:55,0.00973316
01/05/18-23:21:25,0.0126144
01/06/18-00:34:19,0.0143202
01/06/18-00:34:30,0.0143202
01/06/18-01:00:08,0.0142017
01/06/18-10:00:39,0.0144738
01/06/18-12:24:59,0.0147095
01/06/18-13:56:21,0.0155141
01/06/18-13:56:33,0.0155141
01/08/18-15:31:37,0.015505 
01/08/18-15:31:47,0.015505 
01/08/18-16:43:08,0.0155952
01/08/18-22:46:23,0.0151045
01/09/18-20:11:50,0.0143952
01/09/18-21:24:47,0.0135574
01/09/18-21:24:59,0.0135574
01/10/18-16:03:04,0.013106 
01/10/18-16:48:45,0.0129871
01/10/18-16:59:34,0.0129714
01/12/18-18:30:21,0.0126958
01/12/18-19:31:00,0.0133386
01/12/18-22:47:04,0.0131028
01/12/18-22:51:41,0.0131465
01/13/18-20:22:46,0.0126123
01/13/18-20:23:14,0.0126123
01/13/18-21:03:14,0.012553 
01/14/18-00:12:02,0.0130326
01/14/18-00:12:09,0.0130326
01/14/18-17:26:51,0.0118303
01/15/18-00:31:12,0.0113002
01/15/18-02:03:25,0.0114967
01/15/18-15:02:51,0.0105965
01/15/18-15:19:36,0.0106112
01/15/18-17:00:27,0.0105624
01/15/18-18:56:37,0.0103947
01/15/18-18:56:46,0.0103947
01/16/18-00:02:19,0.00911048
01/16/18-00:29:23,0.00900201
01/16/18-13:40:53,0.00797639
01/16/18-14:17:52,0.00809563
01/16/18-15:05:48,0.00805059
01/16/18-17:49:04,0.00775385
01/16/18-18:23:46,0.00764741
01/16/18-18:45:58,0.0074866 
01/16/18-19:37:29,0.00674157
01/16/18-20:26:50,0.00626258
01/16/18-21:52:34,0.00681442
01/17/18-13:21:27,0.00571879
01/17/18-17:26:23,0.00613684
01/17/18-17:43:36,0.00616704
01/17/18-18:32:36,0.00668243
01/17/18-19:02:02,0.00687603
01/18/18-10:12:46,0.00815838
01/18/18-12:05:59,0.00836212
01/18/18-12:29:55,0.00834717
01/18/18-12:30:07,0.0083541
01/18/18-14:06:50,0.00872463
01/18/18-15:36:12,0.00841243
01/18/18-16:44:21,0.00833884
01/18/18-17:30:38,0.00829097
01/18/18-17:31:14,0.00829097
01/19/18-10:54:25,0.00831917
01/19/18-12:43:41,0.00824502
01/19/18-15:13:28,0.00813654
01/19/18-16:32:36,0.0078658
01/20/18-14:07:05,0.0084664
01/20/18-14:21:21,0.00853517
01/21/18-15:03:18,0.00721246
02/02/18-12:12:24,0.00436282
02/02/18-12:12:35,0.00436282
02/02/18-17:08:50,0.00434616
02/03/18-10:45:23,0.0050327
02/04/18-17:31:44,0.00444216
02/07/18-11:50:29,0.0047302
02/07/18-16:30:38,0.0046768
02/08/18-00:03:39,0.0044394
02/08/18-16:26:47,0.00445895
02/09/18-14:07:48,0.00471985
02/09/18-23:34:03,0.00512926
02/12/18-12:56:21,0.0052319
02/12/18-23:18:53,0.00550795
02/15/18-14:14:01,0.00752906
02/16/18-14:00:45,0.00705869
02/24/18-21:49:37,0.00627824
02/26/18-10:15:56,0.00639183
03/01/18-23:20:23,0.00621903
03/04/18-20:25:00,0.00546873
03/05/18-16:52:43,0.00539709
03/05/18-16:59:43,0.00536011
03/05/18-19:06:03,0.00524581
